customer_tweet_id,customer_text,intent,predicted_intent,correct
53732,@SpotifyCares iphone 7plus and ive got the newest version of spotify,Other / Unclear,App & Web Player Technical,False
74904,"@SpotifyCares But 3,333 songs is practically a third of my library and I want to download my whole library on my phone😭😭","Playlist, Library & Sync","Playlist, Library & Sync",True
76239,Yet again @115888 was happily playing on a device at home NOT anywhere near me in the office *sigh*,Other / Unclear,Playback & Streaming,False
64389,"@SpotifyCares @130780 Hi sir, i have the same inquiry. My consumption will last this December. Thank you.",Other / Unclear,Other / Unclear,True
46654,"@126370 @115888 That's a relief, I always smash the skip button 👌",Other / Unclear,Playback & Streaming,False
66017,"@SpotifyCares apparently, you care, so how about it?",Other / Unclear,Other / Unclear,True
61181,@SpotifyCares Hah Okk thank u,Other / Unclear,Other / Unclear,True
53714,@SpotifyCares Can I use Paypal linked to my UK bank account?,Subscription & Billing,Other / Unclear,False
89462,@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,App & Web Player Technical,App & Web Player Technical,True
14943,@115888 https://t.co/IZGJd5KWjz put this on spotify please,Content Availability,Other / Unclear,False
83660,@SpotifyCares  https://t.co/xHTHfDErKN,Other / Unclear,Other / Unclear,True
6617,@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,Other / Unclear,Playback & Streaming,False
64336,@SpotifyCares Hopefully:(,Other / Unclear,Other / Unclear,True
100143,@SpotifyCares I am trying to start my Vodafone Spotify connection but it appears to say running into problems. I can share my ID and phone number in a DM. Please help!,Subscription & Billing,Subscription & Billing,True
95819,"@SpotifyCares you're taking payments from me, but i still see adverts. this is appalling. what's the point in paying?",Subscription & Billing,Other / Unclear,False
93862,Used moms postpaid # to subscribe to @115888 premium but I did not receive the PIN CODE yet. Tried it for like 10 times already. WHY???? @SpotifyCares,Subscription & Billing,Subscription & Billing,True
38951,@AppleSupport @SpotifyCares since ios 11 i cant skip songs on bluetooth and i no longer have spotify on my home screen or the swipe up? help,Playback & Streaming,Playback & Streaming,True
89562,Wtf is this lmao @115888 @116602 @118134 https://t.co/Z5ba6HJ7ED,Other / Unclear,Other / Unclear,True
77718,@SpotifyCares I have solved the problem. Spotify Artists would not work with Safari browser - works fine with Google Chome....,App & Web Player Technical,App & Web Player Technical,True
40657,@SpotifyCares But can I put my account number in so my payment can still comes out,Subscription & Billing,Subscription & Billing,True
55253,@SpotifyCares How can i see this while on desktop mode?,Other / Unclear,Other / Unclear,True
22618,@SpotifyCares Still not there :(,Other / Unclear,Other / Unclear,True
44420,"@SpotifyCares where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.",Content Availability,Content Availability,True
54537,@115888 how do i change my premium account to a student premium one?,Subscription & Billing,Subscription & Billing,True
30116,@SpotifyCares Can you not use a NUS card anymore to get Spotify student price?!,Subscription & Billing,Subscription & Billing,True
35390,Put Gfriend’s song “Me Gustas Tu” back on Spotify before I cry myself to sleep @115888 @SpotifyCares,Content Availability,Other / Unclear,False
9354,@SpotifyCares Here is this pop up that keeps coming up,Other / Unclear,Other / Unclear,True
100200,@SpotifyCares my spotify won’t accept any of my cards for the payments. what do i do.,Subscription & Billing,Subscription & Billing,True
93866,"@SpotifyCares Both songs and albums. The only downloaded material are the three Spotify playlists: New Music Friday, Discover Weekly, and Release Radar.","Playlist, Library & Sync","Playlist, Library & Sync",True
95841,@SpotifyCares how can I find different versions of the same album? e.g. I have both https://t.co/ZdNopru9I8 and https://t.co/DukKRLYE0i saved but I can only find the latter by searching now. There is no “x more release(s)” link at the bottom of the track list.,Features & Product Feedback,"Playlist, Library & Sync",False
43453,@SpotifyCares i invited a new family member to enjoy premium and it said invite came from a person with a different name. Help!,Subscription & Billing,Subscription & Billing,True
15747,@115888 Give me a song to jam to so I forget about my no good ex who was a selfish prick. No country though thanks💕,Other / Unclear,Other / Unclear,True
61167,@SpotifyCares In the middle of down with the sickness.,Other / Unclear,Other / Unclear,True
53679,@SpotifyCares And I’m using the desktop version on my laptop,Other / Unclear,App & Web Player Technical,False
44308,@115888 how,Other / Unclear,Other / Unclear,True
27956,You ok spotify ?? https://t.co/T9Ds0oa5l8,Other / Unclear,Other / Unclear,True
67659,"It’s December tomorrow, do we get our year end Spotify info soon?? @SpotifyCares",Features & Product Feedback,Other / Unclear,False
58284,@SpotifyCares Why's there a 10K limit on songs in My Library? Why not unlimited? I just switched to Spotify from another and feel duped.,Features & Product Feedback,Features & Product Feedback,True
93867,"@SpotifyCares iPhone 8plus, iOS 11.1.2, 8.4.28.1104",Other / Unclear,App & Web Player Technical,False
5005,"@116886 @SpotifyCares The truth is, although Spotify Cares, they've obviously already found the feature to not be useful to the masses. We are outliers. 😓",Features & Product Feedback,Features & Product Feedback,True
41777,@SpotifyCares Nothing is solved if I send you the link. Your service is still leaking customer informations.,Account & Security,Other / Unclear,False
8697,@SpotifyCares Checked the three dots and saw the download option and then my song appeared. It works.. but it feels hidden. Thank you for your interest :),Features & Product Feedback,Features & Product Feedback,True
39770,@SpotifyCares Will do!,Other / Unclear,Other / Unclear,True
100146,"@SpotifyCares @137949 I keep getting the message ""cannot play ... the connection to Spotify was lost"", what's going on?",Playback & Streaming,Other / Unclear,False
39739,"@SpotifyCares Checked, none of these apply - unless an *automatic* update deleted them and switched off the download option?","Playlist, Library & Sync","Playlist, Library & Sync",True
38947,@SpotifyCares iphone 6s and i’m not sure but i’d assume the lastest update?,Other / Unclear,App & Web Player Technical,False
93962,Screw @115888 for the massive mobile app update. It's freaking impossible to enjoy the app without premium now and I can't afford that shit,Subscription & Billing,App & Web Player Technical,False
58937,"@SpotifyCares Everything is up to date. Clearing the cache  reduced the length of the freezes, but they still happen. Getting about 60-100 logged errors per freeze.Thanks!",App & Web Player Technical,App & Web Player Technical,True
48122,@SpotifyCares I've tried using 2 and for both cases search is kind of on-and-off. Usually off when I sleep my computer and go back to spotify,App & Web Player Technical,App & Web Player Technical,True
86385,"@SpotifyCares Nope. You want this: https://t.co/WCORfzxV4g ,But you've got this: https://t.co/8ONGp2DpNg",Other / Unclear,Other / Unclear,True
57073,No longer getting the student discount from @115888 even though I'm still a student... Lame :(,Subscription & Billing,Subscription & Billing,True
89556,"@115888 your latest update 1.0.69.323 is crashing during install, and will no longer let me launch the program. Please help! Music is what I need to keep my sanity ;) I’m using windows 7",App & Web Player Technical,App & Web Player Technical,True
38302,"@SpotifyCares The “time capsule” playlist is suggesting music that I haven’t listened to in 15 years, so I am curious as to how you even know this info.",Features & Product Feedback,"Playlist, Library & Sync",False
57573,@SpotifyCares Hey Spotify can you reply to my messages due some metadata problems? Thanks x,Other / Unclear,Other / Unclear,True
2855,"@SpotifyCares I've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" I do not want this to boot up at startup. What gives? https://t.co/vX8vY4l0st",App & Web Player Technical,Other / Unclear,False
2875,@SpotifyCares I'm using my facebook account as a method to log in.,Account & Security,Account & Security,True
61161,Hey @SpotifyCares I need some help!,Other / Unclear,Other / Unclear,True
1870,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",App & Web Player Technical,App & Web Player Technical,True
32483,@SpotifyCares I deactivated my Facebook a few years ago and now I can't log into Spotify? I don't want to make a new email. Any tips? Thanks,Account & Security,Account & Security,True
83683,"WTELF...?! The song showing on @spotifycares app is not the song playing, &amp; @13281 Android app stops updating scrobbles after 2 or 3 tracks &amp; I can't restart the app to track properly. The blue hell is going on here? I'm not even using Connect FCOL! X_X;",App & Web Player Technical,App & Web Player Technical,True
39734,@SpotifyCares any idea where my search keeps going? If I close and reopen it comes back. iOS 11.1 Spotify v8.4.25.906 https://t.co/wMXRSH7jZ8,App & Web Player Technical,App & Web Player Technical,True
3895,"@SpotifyCares I dunno what system you use that decides which part of the song it gonna play- I love Spotify, but maybe a custom clip option?",Features & Product Feedback,Other / Unclear,False
55239,"@115888 I can't access my account. If I create a new account,how do I cancel the old one?",Account & Security,Other / Unclear,False
29618,"@SpotifyCares Hi I am having problems, please see my DM. Thank you!",Other / Unclear,Other / Unclear,True
58945,@SpotifyCares The 2nd track follows the 1st on album &amp; has similar title but should sound like comical screaming backed w/ circus music &amp; be much shorter,Playback & Streaming,Playback & Streaming,True
67669,Help me fam. I already paid for premium acct. For @115888 but its still in free trial?,Subscription & Billing,Subscription & Billing,True
64394,@SpotifyCares So 20 minutes after reinstallation data is synced but all my artists now say '0 songs'.,"Playlist, Library & Sync","Playlist, Library & Sync",True
89523,@SpotifyCares Ok thx for thr explanation!,Other / Unclear,Other / Unclear,True
5031,@SpotifyCares Works. Blame IOS update.,Other / Unclear,App & Web Player Technical,False
55242,"@115888 Hi, my wife is a UK student (has a student card) but her college is not listed. How can she get student Spotify please?",Subscription & Billing,Subscription & Billing,True
9364,@SpotifyCares Done - but disappointed this post has been running since 2012 and nothing has been done about it.  #GiveListenersTheChoice,Features & Product Feedback,App & Web Player Technical,False
53138,"@SpotifyCares Thank you so much! Listen, I'm a huge spotify fan. Keep up the amazing work friends",Other / Unclear,Other / Unclear,True
58293,"@SpotifyCares A post made in 2012, Spotify responds in 2016, and now its 2017.Doesnt seem to be on your radar or a good site for feedback.",Features & Product Feedback,Features & Product Feedback,True
76238,@SpotifyCares Oh I know how to fix it - I just keep forgetting to switch the bloody device,Other / Unclear,Other / Unclear,True
38973,@SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,Other / Unclear,Other / Unclear,True
38971,@SpotifyCares You guys mixed up songs. Breezeblocks by Alt-J has been replaced with their other song Fitzpleasure. Both play the same song!,Playback & Streaming,Playback & Streaming,True
64369,@SpotifyCares Thank you very much.,Other / Unclear,Other / Unclear,True
2948,@SpotifyCares Thanks. Here's the link: https://t.co/Luc4FiDrIm,Other / Unclear,Other / Unclear,True
58294,@SpotifyCares How come there aren't any parents controls for family subscriptions?,Features & Product Feedback,Other / Unclear,False
39761,@115888 what is the presale code for the @124708 concert in ATX,Other / Unclear,Other / Unclear,True
66020,"@SpotifyCares Hi I was wondering, are there still gift cards sold at Australian stores? I can't find them anywhere anymore.",Subscription & Billing,Other / Unclear,False
5023,@SpotifyCares They're back now. I was on my phone's 4g earlier. I don't know what happened but when I connected to my wifi it returned. Thank you though.,Playback & Streaming,App & Web Player Technical,False
38943,@115888 @spotifycares Why don't you offer the same student discount to the teachers that teach the students? I'm sure @124439 would help.,Subscription & Billing,Subscription & Billing,True
