customer_text,actual_intent,predicted_intent,top1_similarity,top1_intent,top3_intents,top1_aligned,top3_aligned
@SpotifyCares iphone 7plus and ive got the newest version of spotify,Other / Unclear,App & Web Player Technical,0.39655248731186044,Other / Unclear,Other / Unclear | App & Web Player Technical | App & Web Player Technical,False,True
"@SpotifyCares But 3,333 songs is practically a third of my library and I want to download my whole library on my phone😭😭","Playlist, Library & Sync","Playlist, Library & Sync",0.16425593479805528,Subscription & Billing,"Subscription & Billing | Subscription & Billing | Playlist, Library & Sync",False,True
Yet again @115888 was happily playing on a device at home NOT anywhere near me in the office *sigh*,Other / Unclear,Playback & Streaming,1.0,Playback & Streaming,Playback & Streaming | Playback & Streaming | Other / Unclear,True,True
"@SpotifyCares @130780 Hi sir, i have the same inquiry. My consumption will last this December. Thank you.",Other / Unclear,Other / Unclear,0.33416471923225083,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@126370 @115888 That's a relief, I always smash the skip button 👌",Other / Unclear,Playback & Streaming,0.4082180645243889,Playback & Streaming,Playback & Streaming | App & Web Player Technical | Other / Unclear,True,True
"@SpotifyCares apparently, you care, so how about it?",Other / Unclear,Other / Unclear,0.35540850281857056,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Hah Okk thank u,Other / Unclear,Other / Unclear,0.5295428418493202,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Can I use Paypal linked to my UK bank account?,Subscription & Billing,Other / Unclear,0.20327405258427644,Subscription & Billing,Subscription & Billing | Subscription & Billing | Subscription & Billing,False,False
@SpotifyCares I can't find that option. I've checked and my Sonos app is up to date. I've removed and then re authorised Spotify as a music service. All no joy.,App & Web Player Technical,App & Web Player Technical,0.17070529632124398,App & Web Player Technical,App & Web Player Technical | Subscription & Billing | Other / Unclear,True,True
@115888 https://t.co/IZGJd5KWjz put this on spotify please,Content Availability,Other / Unclear,0.2675868442945497,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares  https://t.co/xHTHfDErKN,Other / Unclear,Other / Unclear,1.0000000000000002,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares No it didn't crash. I was cooking dinner and heard about 3 songs. Each song is about 2-3 mins. After the third song the ad played.,Other / Unclear,Playback & Streaming,0.21706504878297003,App & Web Player Technical,App & Web Player Technical | Other / Unclear | Other / Unclear,False,False
@SpotifyCares Hopefully:(,Other / Unclear,Other / Unclear,0.3784908729082029,Other / Unclear,Other / Unclear | App & Web Player Technical | App & Web Player Technical,True,True
@SpotifyCares I am trying to start my Vodafone Spotify connection but it appears to say running into problems. I can share my ID and phone number in a DM. Please help!,Subscription & Billing,Subscription & Billing,0.18143002179914058,Other / Unclear,Other / Unclear | Other / Unclear | Subscription & Billing,False,True
"@SpotifyCares you're taking payments from me, but i still see adverts. this is appalling. what's the point in paying?",Subscription & Billing,Other / Unclear,0.25520109228707155,"Playlist, Library & Sync","Playlist, Library & Sync | Other / Unclear | Subscription & Billing",False,True
Used moms postpaid # to subscribe to @115888 premium but I did not receive the PIN CODE yet. Tried it for like 10 times already. WHY???? @SpotifyCares,Subscription & Billing,Subscription & Billing,0.18560425841814226,Subscription & Billing,Subscription & Billing | Subscription & Billing | Subscription & Billing,True,True
@AppleSupport @SpotifyCares since ios 11 i cant skip songs on bluetooth and i no longer have spotify on my home screen or the swipe up? help,Playback & Streaming,Playback & Streaming,0.9999999999999993,Playback & Streaming,Playback & Streaming | App & Web Player Technical | Playback & Streaming,True,True
Wtf is this lmao @115888 @116602 @118134 https://t.co/Z5ba6HJ7ED,Other / Unclear,Other / Unclear,0.35472787475223444,Other / Unclear,Other / Unclear | Other / Unclear | Content Availability,True,True
@SpotifyCares I have solved the problem. Spotify Artists would not work with Safari browser - works fine with Google Chome....,App & Web Player Technical,App & Web Player Technical,0.2570271286824498,Other / Unclear,Other / Unclear | Other / Unclear | App & Web Player Technical,False,True
@SpotifyCares But can I put my account number in so my payment can still comes out,Subscription & Billing,Subscription & Billing,0.23337231126188104,Subscription & Billing,Subscription & Billing | App & Web Player Technical | Subscription & Billing,True,True
@SpotifyCares How can i see this while on desktop mode?,Other / Unclear,Other / Unclear,0.2086140775673747,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Still not there :(,Other / Unclear,Other / Unclear,0.6176738528514618,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
"@SpotifyCares where's Bonzo goes to Bitburg by Ramones? In fact, the whole album, Animal boy, is not available. Wtf.",Content Availability,Content Availability,0.25301941461101,Features & Product Feedback,Features & Product Feedback | Content Availability | Content Availability,False,True
@115888 how do i change my premium account to a student premium one?,Subscription & Billing,Subscription & Billing,0.36439658975158234,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Can you not use a NUS card anymore to get Spotify student price?!,Subscription & Billing,Subscription & Billing,1.0,Subscription & Billing,Subscription & Billing | Other / Unclear | Subscription & Billing,True,True
Put Gfriend’s song “Me Gustas Tu” back on Spotify before I cry myself to sleep @115888 @SpotifyCares,Content Availability,Other / Unclear,0.2488962657928033,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
@SpotifyCares Here is this pop up that keeps coming up,Other / Unclear,Other / Unclear,0.23280981902638728,Subscription & Billing,Subscription & Billing | Other / Unclear | Other / Unclear,False,True
@SpotifyCares my spotify won’t accept any of my cards for the payments. what do i do.,Subscription & Billing,Subscription & Billing,0.30745486041669423,Subscription & Billing,Subscription & Billing | Other / Unclear | App & Web Player Technical,True,True
"@SpotifyCares Both songs and albums. The only downloaded material are the three Spotify playlists: New Music Friday, Discover Weekly, and Release Radar.","Playlist, Library & Sync","Playlist, Library & Sync",0.2593437480721564,Other / Unclear,Other / Unclear | Playback & Streaming | Other / Unclear,False,False
@SpotifyCares how can I find different versions of the same album? e.g. I have both https://t.co/ZdNopru9I8 and https://t.co/DukKRLYE0i saved but I can only find the latter by searching now. There is no “x more release(s)” link at the bottom of the track list.,Features & Product Feedback,"Playlist, Library & Sync",0.1705907160611297,Other / Unclear,Other / Unclear | Subscription & Billing | App & Web Player Technical,False,False
@SpotifyCares i invited a new family member to enjoy premium and it said invite came from a person with a different name. Help!,Subscription & Billing,Subscription & Billing,0.22243431583239723,Other / Unclear,Other / Unclear | Subscription & Billing | Other / Unclear,False,True
@115888 Give me a song to jam to so I forget about my no good ex who was a selfish prick. No country though thanks💕,Other / Unclear,Other / Unclear,0.21286262180365934,Other / Unclear,Other / Unclear | Other / Unclear | Other / Unclear,True,True
