customer_tweet_id,customer_id,customer_text,customer_created_at,brand_tweet_id,parent_tweet_id,brand_text,brand_created_at
850,115887,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,Tue Oct 31 21:41:37 +0000 2017,848,850,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,Tue Oct 31 22:28:16 +0000 2017
849,115887,@SpotifyCares doesn’t work and i even tried deleting the app,Tue Oct 31 23:36:20 +0000 2017,851,849,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,Tue Oct 31 23:39:03 +0000 2017
853,115887,@SpotifyCares iphone 7+ and i have the most recent update for spotify,Tue Oct 31 19:57:59 +0000 2017,852,853,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",Tue Oct 31 21:04:13 +0000 2017
855,115887,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated,Tue Oct 31 19:10:51 +0000 2017,854,855,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",Tue Oct 31 19:36:16 +0000 2017
858,115889,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,Tue Oct 31 22:01:30 +0000 2017,856,858,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",Tue Oct 31 22:25:16 +0000 2017
857,115889,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",Wed Nov 01 07:40:06 +0000 2017,859,857,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,Wed Nov 01 08:30:40 +0000 2017
862,115889,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,Tue Oct 31 21:43:56 +0000 2017,860,862,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,Tue Oct 31 21:51:22 +0000 2017
864,115891,@SpotifyCares ok thx,Tue Oct 31 22:22:05 +0000 2017,863,864,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS",Tue Oct 31 22:25:07 +0000 2017
866,115891,is there a way to find non-explicit songs that are explicit @SpotifyCares,Tue Oct 31 22:14:42 +0000 2017,865,866,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",Tue Oct 31 22:17:55 +0000 2017
1869,116128,"@SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!",Tue Oct 31 22:33:55 +0000 2017,1867,1869,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",Tue Oct 31 22:42:29 +0000 2017
1870,116128,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",Tue Oct 31 22:45:10 +0000 2017,1871,1870,"@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",Tue Oct 31 22:47:05 +0000 2017
1872,116128,@SpotifyCares 1.0.65.320.gac7a8e02,Tue Oct 31 22:48:33 +0000 2017,1873,1872,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",Tue Oct 31 22:53:34 +0000 2017
1875,116128,Why are my devices not doing the cool thing when I play the #StrangerThings albums on @115888? 😭,Tue Oct 31 22:24:54 +0000 2017,1874,1875,@116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,Tue Oct 31 22:32:21 +0000 2017
1878,116129,"@116130 why are Nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist",Tue Oct 31 21:54:36 +0000 2017,1876,1878,@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,Tue Oct 31 22:33:32 +0000 2017
1877,116129,"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks",Tue Oct 31 23:08:08 +0000 2017,1879,1877,"@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH",Tue Oct 31 23:27:02 +0000 2017
