customer_tweet_id,customer_id,customer_text,customer_created_at,brand_tweet_id,parent_tweet_id,brand_text,brand_created_at
1615800,495535,@SpotifyCares Also why does my girlfriends account go three or more songs between ads and mine usually one after being a long time premium account,Tue Oct 31 17:26:57 +0000 2017,1615803,1615800,"@495535 Thanks! Just to confirm, did you watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MC",Tue Oct 31 17:35:21 +0000 2017
2121315,625000,@SpotifyCares Just the albums my playlists are ok.,Wed Nov 08 14:58:52 +0000 2017,2121314,2121315,@625000 Thanks for clearing that up. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,Wed Nov 08 15:01:59 +0000 2017
1683029,511586,@SpotifyCares Version 8.2.0.549 and os 11 ( although was like this when I had ios 9),Mon Nov 06 16:55:35 +0000 2017,1683031,1683029,@511586 Got it. Can you check if updating the app makes a difference? /DV,Mon Nov 06 17:10:18 +0000 2017
2692981,756950,"@SpotifyCares I was surprised to see one of my fav Christmas tracks by @103595 wasn't on the ""Christmas in Canada"" 🇨🇦 playlist @3493. I enjoy hearing it every year! https://t.co/43dMzEE5ev",Sun Nov 19 15:00:35 +0000 2017,2692979,2692981,"@756950 Hey Mitchell, glad to hear we could surprise you this year! Be sure to check out that tracks Song Radio for more tunes just like it 🎁 /TB",Sun Nov 19 17:10:20 +0000 2017
1456546,458065,@SpotifyCares I lost my premium account subscription with FIDO. What's going on? Music is my life!,Thu Nov 02 19:55:59 +0000 2017,1456545,1456546,@458065 Hi Marc! We've sent a reply to your DM. Let's carry on chatting there /LP,Thu Nov 02 20:03:50 +0000 2017
2663996,750669,"So saving an entire album to a playlist on Android no longer automatically names the playlist ""Artist - Album Name""? This is a step backwards @115888 @SpotifyCares!",Sat Nov 25 15:37:12 +0000 2017,2663995,2663996,"@750669 Hey there! Don't worry, help's here. Can you let us know the device you're using along with its Android and Spotify versions? We'll be on the lookout for your reply /MT",Sat Nov 25 23:53:03 +0000 2017
1788653,537301,@SpotifyCares Gift**,Thu Oct 12 17:20:25 +0000 2017,1788652,1788653,@537301 Hey Lizzy! You can purchase E-cards for Spotify Premium here: https://t.co/42zVxzQuAV. Let us know if you have any questions /TF,Thu Oct 12 17:26:27 +0000 2017
1372118,235785,@SpotifyCares thank you!,Fri Oct 27 23:49:02 +0000 2017,1372117,1372118,@235785 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /AP,Fri Oct 27 23:53:34 +0000 2017
1578595,486158,@SpotifyCares y'all need to update for iPhone X! All the major apps had day 1 updates ready,Sat Nov 04 16:20:21 +0000 2017,1578594,1578595,"@486158 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",Sat Nov 04 18:58:38 +0000 2017
1448180,456065,"@SpotifyCares ...and I get the ""No results found for '[insert search term]'"" message. I've had lots of bugs, but this is new.",Thu Nov 02 16:27:20 +0000 2017,1448178,1448180,"@456065 Hey Lucas! Does logging out of Spotify, restarting your device and logging back in help at all? Keep us posted /TF",Thu Nov 02 16:33:40 +0000 2017
1904128,567449,@SpotifyCares I am so sick that I am forced to re-download my playlists non-top. I went from  #groovemusic with no problems to this. :/,Wed Oct 25 07:02:02 +0000 2017,1904127,1904128,"@567449 Hey Mikkel, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /AY",Wed Oct 25 07:06:40 +0000 2017
1702124,516077,@SpotifyCares any word of when you'll up the limit of songs that we can save? i cleared it up last year and i ran into this issue again https://t.co/7zmzUNcWuf,Tue Oct 17 15:34:13 +0000 2017,1702123,1702124,"@516077 We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 🙂 /VK",Tue Oct 17 17:16:04 +0000 2017
2552706,723973,@725075 @6860 @115888 Yeah @115888 I tried to listen to take care today hyfr couldn't find it what gives eh? Thank u!,Thu Nov 16 14:42:02 +0000 2017,2552703,2552706,"@723973 @725075 @6860 @115888 Hey! Fingers crossed we'll be able to have it to you soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /KM",Thu Nov 16 14:53:20 +0000 2017
1960908,398465,"Hey @115888 why is there a limit to how large my library can be, even if I'm a premium user?",Mon Oct 30 22:11:31 +0000 2017,1960905,1960908,"@398465 Hi! Right now, you can only download up to 3,333 songs per device for offline listening, on up to 3 devices. We'll pass on your feedback /DD",Mon Oct 30 22:38:45 +0000 2017
1812580,544540,"@SpotifyCares ,, you said you sent a password reset to my email, but yet I never got the email",Sun Oct 15 06:08:38 +0000 2017,1812579,1812580,"@544540 Hi there, that's not cool! Could you DM us your account's username or password? We'll check backstage /RE https://t.co/ldFdZRiNAt",Sun Oct 15 06:29:42 +0000 2017
2027299,599508,@115888 why isn’t my Spotify radio nor any searches working and I’m a premium member? Keeps saying an “error occurred.” Restarted my phone,Mon Nov 06 18:02:05 +0000 2017,2027298,2027299,"@599508 @115888 Hey there! Could you let us know your device's make/model, operating system, and Spotify version? We'll see what we can suggest /GU",Mon Nov 06 19:52:05 +0000 2017
2662920,750472,"@SpotifyCares hi, I sent a message to you. Please kindly help, thanks! 🙂",Tue Oct 31 06:37:58 +0000 2017,2662919,2662920,@750472 Hey Dyna! We've just sent you a DM. Let's continue chatting there /NS,Tue Oct 31 06:39:28 +0000 2017
2312076,670515,"@SpotifyCares i have paid for premium account, but my spotify still labeled as free account. please helpp",Sun Nov 12 16:33:22 +0000 2017,2312075,2312076,"@670515 Hi Dita, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt",Sun Nov 12 22:02:15 +0000 2017
860232,324251,@SpotifyCares It’s ok i found a work around when I didn’t hear back within a few hours.  Thanks anyway,Sun Oct 15 17:04:36 +0000 2017,860234,860232,"@324251 Nice! We're glad it's working now. Let us know if you need anything else, we'll be right here /RV",Sun Oct 15 22:52:34 +0000 2017
1094849,378348,"@115888 @SpotifyCares am having issues joining a family plan, would you help?",Fri Oct 13 17:49:38 +0000 2017,1094848,1094849,@378348 @115888 We've just sent you a DM 🙂 /PX,Fri Oct 13 20:58:56 +0000 2017
1827051,548374,@SpotifyCares Yes that's not cool. Can't agree more. Nope. Everything is fine on my side. Downloading everything again so... Grrrr,Tue Oct 17 13:31:07 +0000 2017,1827053,1827051,"@548374 OK. Just in case, that link can explain what could've happened and which steps to take next to prevent this from happening in the future /GK",Tue Oct 17 13:53:14 +0000 2017
1098719,379266,"Hey @SpotifyCares, @3072 and @5795. That last tweet is for you too https://t.co/SbaXzWA9bZ",Fri Oct 13 20:34:05 +0000 2017,1098718,1098719,"@379266 Hi there. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right team /LM",Fri Oct 13 22:27:38 +0000 2017
1272285,417820,"@SpotifyCares Hey, the issue's all fixed now. My card was charged today. Thanks! 👍",Sun Nov 26 03:52:01 +0000 2017,1272287,1272285,@417820 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ,Sun Nov 26 04:25:41 +0000 2017
2653070,748203,"@SpotifyCares Done. Thank you. In the meantime, I also have a suggestion that might help those like me with this problem: I'd love to see a way to alphabetize my ""All Songs"" category on the app so I can easily eliminate duplicate songs to allow for more space.",Sat Nov 18 22:53:16 +0000 2017,2653069,2653070,@748203 No worries! You can sort Your Songs by Title with these steps: https://t.co/5hjtm5AdqM. This rearranges the tracks alphabetically. Hope this helps /KB,Sat Nov 18 23:04:44 +0000 2017
2809046,783416,@115888 @117168 @SpotifyCares i got issues with u removing Troubadour by George Strait and People are Crazy by Billy Currington,Wed Nov 22 03:23:09 +0000 2017,2809045,2809046,@783416 Hey there! Sometimes content gets removed due to licensing changes. Hopefully we'll have them available again soon. Check this out: https://t.co/0i8GpimuDa /AR,Wed Nov 22 05:19:43 +0000 2017
760596,301744,Still waiting for the day GOT7 will be on  @117168 @115888,Wed Oct 11 19:48:34 +0000 2017,760595,760596,@301744 We'd love to have them on Spotify! Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /BE,Wed Oct 11 20:10:32 +0000 2017
61179,130007,"Alright, @115888 time to add No Phun Intended, and Regional at Best to @130008 albums 👍🏼 alright, cool",Wed Nov 01 20:47:37 +0000 2017,61177,61179,@130007 Hey there! Could you let know what country your Spotify account is set to? We'll check it's availability /GU,Wed Nov 01 21:21:37 +0000 2017
2520932,718042,@SpotifyCares hey Spotify. Im an artist trying to get verified. Help please 🙏,Thu Nov 16 01:19:29 +0000 2017,2520929,2520932,@718042 Hey there! You can request for verification at https://t.co/aR6VNZNfsw. Hope this helps 😁 /NS,Thu Nov 16 01:25:48 +0000 2017
689583,284783,Hi @115888 @SpotifyCares please check your dm!!! Badly needed your help,Thu Nov 23 10:58:09 +0000 2017,689582,689583,@284783 Hey Ericson! We've just sent a DM your way. We'll carry on chatting there 🙂 /Q,Thu Nov 23 14:32:35 +0000 2017
552683,248881,@SpotifyCares I received a notification on your annual premium subscription but logged in and can’t find how I can take advantage of this,Sat Dec 02 18:32:18 +0000 2017,552682,552683,"@248881 Hey, help's here! Can you DM us your account's email address along with a screenshot of the page you're seeing when you clicked on the emailed link for the offer? We'll take a closer look /RR https://t.co/ldFdZRiNAt",Sat Dec 02 19:36:06 +0000 2017
